EntityName,EntityID,Time,LocationName,LocationID
Operator 1,4,536,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 2,8,536,M5-01_(FR5_01)_Location,6
Operator 2,5,536,CentralBuffer_Location,0
Manual worker 1,7,536,CentralBuffer_Location,0
Operator 1,4,537,CentralBuffer_Location,0
Manual worker 2,8,537,CentralBuffer_Location,0
Operator 2,5,537,CentralBuffer_Location,0
Manual worker 1,7,537,M5-01_(FR5_01)_Location,6
Operator 1,4,538,CentralBuffer_Location,0
Manual worker 2,8,538,CentralBuffer_Location,0
Operator 2,5,538,UMC750_(M5-03)_Location,8
Manual worker 1,7,539,M5-01_(FR5_01)_Location,6
Operator 1,4,539,UMC750_(M5-03)_Location,8
Manual worker 2,8,539,MP3_(UITG_M)_Location,17
Operator 2,5,540,UMC750_(M5-03)_Location,8
Manual worker 1,7,540,CentralBuffer_Location,0
Operator 1,4,541,UMC750_(M5-03)_Location,8
Manual worker 2,8,541,MP3_(UITG_M)_Location,17
Operator 2,5,541,CentralBuffer_Location,0
Manual worker 1,7,541,CentralBuffer_Location,0
Operator 1,4,542,CentralBuffer_Location,0
Manual worker 2,8,542,CentralBuffer_Location,0
Operator 2,5,542,CentralBuffer_Location,0
Manual worker 1,7,542,MP3_(UITG_M)_Location,17
Operator 1,4,543,CentralBuffer_Location,0
Manual worker 2,8,543,CentralBuffer_Location,0
Operator 2,5,543,BW_(BKW_01)_Location,13
Manual worker 1,7,544,MP3_(UITG_M)_Location,17
Operator 1,4,544,M4-01_(FR4_01)_Location,3
Manual worker 2,8,544,BW_(BKW_01)_Location,13
Operator 2,5,545,BW_(BKW_01)_Location,13
Manual worker 1,7,545,CentralBuffer_Location,0
Operator 1,4,546,M4-01_(FR4_01)_Location,3
Manual worker 2,8,546,BW_(BKW_01)_Location,13
Operator 2,5,546,CentralBuffer_Location,0
Manual worker 1,7,546,CentralBuffer_Location,0
Operator 1,4,547,CentralBuffer_Location,0
Manual worker 2,8,547,CentralBuffer_Location,0
Operator 2,5,547,CentralBuffer_Location,0
Manual worker 1,7,547,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,548,CentralBuffer_Location,0
Manual worker 2,8,548,CentralBuffer_Location,0
Operator 2,5,548,M3-01_(FR3_01)_Location,1
Manual worker 1,7,549,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,549,M5-02_(FR5_02)_Location,7
Manual worker 2,8,549,VF2SS_(M3-03)_Location,5
Operator 2,5,550,M3-01_(FR3_01)_Location,1
Manual worker 1,7,550,CentralBuffer_Location,0
Operator 1,4,551,M5-02_(FR5_02)_Location,7
Manual worker 2,8,551,VF2SS_(M3-03)_Location,5
Operator 2,5,551,CentralBuffer_Location,0
Manual worker 1,7,551,CentralBuffer_Location,0
Operator 1,4,552,CentralBuffer_Location,0
Manual worker 2,8,552,CentralBuffer_Location,0
Operator 2,5,552,CentralBuffer_Location,0
Manual worker 1,7,552,M5-01_(FR5_01)_Location,6
Operator 1,4,553,CentralBuffer_Location,0
Manual worker 2,8,553,CentralBuffer_Location,0
Operator 2,5,553,M3-01_(FR3_01)_Location,1
Manual worker 1,7,554,M5-01_(FR5_01)_Location,6
Operator 1,4,554,M4-01_(FR4_01)_Location,3
Manual worker 2,8,554,M4-02_(FR4_02)_Location,4
