OperationID,Name,ProcessTime,Predecessor
200,Milling (FR5_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.75,Milling (FR5_02)_[4022-290-63321F]  Bearing housing spindle (rev F)
201,Milling (FR5_01)_[4022-290-63321F]  Bearing housing spindle (rev F)_2,0.06666666666666667,Milling (FR5_01)_[4022-290-63321F]  Bearing housing spindle (rev F)
202,BW - Benchwork (BKW_01)_[4022-290-63321F]  Bearing housing spindle (rev F),0.06666666666666667,Milling (FR5_01)_[4022-290-63321F]  Bearing housing spindle (rev F)_2
203,Packaging (VERP_P)_[4022-290-63321F]  Bearing housing spindle (rev F),0.016666666666666666,BW - Benchwork (BKW_01)_[4022-290-63321F]  Bearing housing spindle (rev F)
204,Material prep (ZGN_01)_[4022-333-11506]  lagerblok,0.016666666666666666,{}
205,Milling (FR3_01)_[4022-333-11506]  lagerblok,0.016666666666666666,Material prep (ZGN_01)_[4022-333-11506]  lagerblok
206,Milling (FR5_01)_[4022-333-11506]  lagerblok,0.35,Milling (FR3_01)_[4022-333-11506]  lagerblok
207,Milling (FR3_01)_[4022-333-11506]  lagerblok_2,0.08333333333333333,Milling (FR5_01)_[4022-333-11506]  lagerblok
208,BW - Benchwork (BKW_01)_[4022-333-11506]  lagerblok,0.03333333333333333,Milling (FR3_01)_[4022-333-11506]  lagerblok_2
209,Packaging (VERP_P)_[4022-333-11506]  lagerblok,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-333-11506]  lagerblok
210,Material prep (ZGN_01)_[4022-333-13805]  dr pnt cilinder,0.016666666666666666,{}
211,Milling (FR5_01)_[4022-333-13805]  dr pnt cilinder,0.25,Material prep (ZGN_01)_[4022-333-13805]  dr pnt cilinder
212,Milling (FR3_01)_[4022-333-13805]  dr pnt cilinder,0.016666666666666666,Milling (FR5_01)_[4022-333-13805]  dr pnt cilinder
213,Passivating_[4022-333-13805]  dr pnt cilinder,37.5,Milling (FR3_01)_[4022-333-13805]  dr pnt cilinder
214,BW - Benchwork (BKW_01)_[4022-333-13805]  dr pnt cilinder,0.016666666666666666,Passivating_[4022-333-13805]  dr pnt cilinder
215,Packaging (VERP_P)_[4022-333-13805]  dr pnt cilinder,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-333-13805]  dr pnt cilinder
216,Picking (UITG_M)_[4022-333-19505]  BRIL,0.0,{}
217,Milling (FR3_01)_[4022-333-19505]  BRIL,0.16666666666666666,Picking (UITG_M)_[4022-333-19505]  BRIL
218,BW - Benchwork (BKW_01)_[4022-333-19505]  BRIL,0.05,Milling (FR3_01)_[4022-333-19505]  BRIL
219,Packaging (VERP_P)_[4022-333-19505]  BRIL,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-333-19505]  BRIL
220,Material prep (ZGN_01)_[4022-333-40501]  DUMMY KRISTAL,0.016666666666666666,{}
221,Milling (FR3_02)_[4022-333-40501]  DUMMY KRISTAL,0.016666666666666666,Material prep (ZGN_01)_[4022-333-40501]  DUMMY KRISTAL
222,BW - Benchwork (BKW_01)_[4022-333-40501]  DUMMY KRISTAL,0.016666666666666666,Milling (FR3_02)_[4022-333-40501]  DUMMY KRISTAL
223,Packaging (VERP_P)_[4022-333-40501]  DUMMY KRISTAL,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-333-40501]  DUMMY KRISTAL
224,Material prep (ZGN_01)_[4022-333-58172]  KIJKERHOUDER,0.016666666666666666,{}
225,Milling (FR5_01)_[4022-333-58172]  KIJKERHOUDER,0.16666666666666666,Material prep (ZGN_01)_[4022-333-58172]  KIJKERHOUDER
226,Milling (FR3_01)_[4022-333-58172]  KIJKERHOUDER,0.03333333333333333,Milling (FR5_01)_[4022-333-58172]  KIJKERHOUDER
227,BW - Benchwork (BKW_01)_[4022-333-58172]  KIJKERHOUDER,0.03333333333333333,Milling (FR3_01)_[4022-333-58172]  KIJKERHOUDER
228,Anodising_[4022-333-58172]  KIJKERHOUDER,37.5,BW - Benchwork (BKW_01)_[4022-333-58172]  KIJKERHOUDER
229,Packaging (VERP_P)_[4022-333-58172]  KIJKERHOUDER,0.016666666666666666,Anodising_[4022-333-58172]  KIJKERHOUDER
230,Material prep (ZGN_02)_[4022-333-58791]  Filterhouder Cu 0.1,0.016666666666666666,{}
231,Milling (FR4-01)_[4022-333-58791]  Filterhouder Cu 0.1,0.05,Material prep (ZGN_02)_[4022-333-58791]  Filterhouder Cu 0.1
232,BW - Benchwork (BKW_01)_[4022-333-58791]  Filterhouder Cu 0.1,0.08333333333333333,Milling (FR4-01)_[4022-333-58791]  Filterhouder Cu 0.1
233,Packaging (VERP_P)_[4022-333-58791]  Filterhouder Cu 0.1,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-333-58791]  Filterhouder Cu 0.1
234,Material prep (ZGN_02)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.016666666666666666,{}
