ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
229,5601-0000-0118,[5601-0000-0118]  ALU 99.5 40HV UN-T136 plaat 145x145x6,Pcs,1,0.0,200,
230,4598-008-08901B POS 1,[4598-008-08901B POS 1]  CEILING INLET*,mm,3000,0.0,,
231,4598-011-70891B,[4598-011-70891B]  ENDPLATE,mm,3000,0.0,231,231
232,5602-0000-0002,[5602-0000-0002]  RVS 304/304L blank plat 60x10,Pcs,1,1240.0,231,
233,6001-1315-5405,[6001-1315-5405]  Clamping Lever,Pcs,1,0.0,,
234,5601-0000-0121,[5601-0000-0121]  ALU 6082 T6 663x50x20mm (pre-cutted Clamping Lever),Pcs,1,0.0,,
235,9091469-3-00,[9091469-3-00]  Vingerhouder,mm,3000,0.0,,
236,5603-0000-0015,[5603-0000-0015]  STAAL 40CrMnM07 wgw plat 80x40,Pcs,1,0.0,,
237,B620261-5,[B620261-5]  COOLING HOUSE,Pcs,1,0.0,1,
238,5602-0000-0036,[5602-0000-0036]  RVS 304/304L gzgd plaat 745x285x20,Pcs,1,0.0,1,
239,BD50-5075-009-E,[BD50-5075-009-E]  bracket,mm,3000,0.0,,24
240,GF3116T006L,[GF3116T006L]  Carriage,Pcs,1,0.0,240,240
241,5601-0000-0001,[5601-0000-0001]  ALU 5083 6z gzgd plaat 120x110x15,Pcs,1,0.0,240,
242,GO3181T051C,[GO3181T051C]  CID Ventilblock (ASCO),Pcs,1,0.0,,
243,5601-0000-0106,[5601-0000-0106]  ALU 5083 gzgd plaat 103x65x25,Pcs,1,0.0,,
244,GO3213T056C,[GO3213T056C]  [V] frontdeckel (1841462),Pcs,1,0.0,,
245,5601-0000-0004,[5601-0000-0004]  ALU 5083 2z gefr plaat 1730x240x20,Pcs,1,0.0,,
246,GO3220T101B,[GO3220T101B]  Ventillblock vxe 1834191,mm,3000,0.0,,
247,GO4910T001B,[GO4910T001B]  Klemmaufnahme,mm,3000,0.0,,
248,M.459800425070/1,[M.459800425070/1]  Spring brake suspension,,1,0.0,,
249,M0216-01-091A,[M0216-01-091A]  Bev. Klitteband,mm,3000,0.0,3000,
250,5601-0000-0111,[5601-0000-0111]  ALU 6060 T66 plat 30x5,Pcs,1,0.0,3000,
251,M0216-01-363-B,[M0216-01-363-B]  nul-graden arretsegment,mm,3000,0.0,75,75
252,5603-0000-0018,[5603-0000-0018]  STAAL s235jr wgw plat 70x20,Pcs,1,0.0,75,
253,S325F3116200B,[S325F3116200B]  Bracket,Pcs,1,0.0,,
254,5601-0000-0105,[5601-0000-0105]  ALU 2024-T351 gecert. 110x15x10,Pcs,1,0.0,,
255,4022.622.61092,[4022.622.61092]  RH RED GRIPPER CABLE COVER ,,1,0.0,,
256,4022.684.31831,[4022.684.31831]  RH RED IR SENSOR BRKT ,,1,0.0,,
257,4022.684.32042,[4022.684.32042]  RH RED DYNAMIC STRAIN RELIEF B ,,1,0.0,,31
258,4022.684.32031,[4022.684.32031]  RH RED DYNAMIC STRAIN RELIEF A,,1,0.0,,
259,4022.684.32071,[4022.684.32071]  RH RED STATIC STRAIN RELIEF C,,1,0.0,,
260,4022.704.19302,[4022.704.19302]  RH RED STATIC STRAIN RELIEF A,,1,0.0,,
261,4022.704.19332,[4022.704.19332]  RH RED STATIC STRAIN RELIEF B ,,1,0.0,,
262,4022-637-11831,[4022-637-11831]  HINGE BLOCK FIXED LF,mm,3000,0.0,30,
263,5602-0000-0016,[5602-0000-0016]  RVS 304/304L wgw plat 100x30,Pcs,1,0.0,30,
264,4022-706-4754,[4022-706-4754]  EXE REMA TT Clamp block 2,mm,3000,0.0,,
265,5601-0000-0122,[5601-0000-0122]  ALU 6082 T6 vk 90,Pcs,1,0.0,,
266,4022-706-47551,[4022-706-47551]  EXE REMA TT Hinge  Block 1,mm,3000,0.0,,
267,4022-706-4756,[4022-706-4756]  EXE REMA TT Hinge Block 2,mm,3000,0.0,,
268,4022-706-4757,[4022-706-4757]  EXE REMA TT Clamp Block 3,mm,3000,0.0,,
269,5601-0000-0123,[5601-0000-0123]  ALU 6082 T6 vk 100,Pcs,1,0.0,,
